sr_no,state,mp_name,constituency,constituency_clean,allocated_amount_inr,is_reserved_sc,is_reserved_st,is_missing_amount,is_invalid_amount,is_duplicate_constituency,is_data_quality_issue
296,West Bengal,Ms Mahua Moitra,KRISHNANAGAR,KRISHNANAGAR,159865046.0,False,False,False,False,False,False
297,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,LAKSHADWEEP(ST),LAKSHADWEEP,153942460.41,False,True,False,False,False,False
298,Uttar Pradesh,Mukesh Rajput,FARRUKHABAD,FARRUKHABAD,147000000.0,False,False,False,False,False,False
299,Gujarat,MUKESHKUMAR CHANDRAKAANT DALAL,SURAT,SURAT,147000000.0,False,False,False,False,False,False
300,Rajasthan,MURARI LAL MEENA,DAUSA(ST),DAUSA,147000000.0,False,True,False,False,False,False
301,Tamil Nadu,MURASOLI S,THANJAVUR,THANJAVUR,147000000.0,False,False,False,False,False,False
302,Maharashtra,MURLIDHAR MOHOL,PUNE,PUNE,147000000.0,False,False,False,False,False,False
303,Odisha,NABA CHARAN MAJHI,MAYURBHANJ (ST),MAYURBHANJ,147563957.11,False,True,False,False,False,False
304,Jharkhand,NALIN SOREN,DUMKA(ST),DUMKA,147364097.11,False,True,False,False,False,False
305,Uttar Pradesh,NARAYAN DAS AHIRWAR,JALAUN(SC),JALAUN,147000000.0,True,False,False,False,False,False
306,Maharashtra,NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,RATNAGIRI-SINDHUDURG,147000000.0,False,False,False,False,False,False
307,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,FATEHPUR,FATEHPUR,147000000.0,False,False,False,False,False,False
308,Maharashtra,NARESH GANPAT MHASKE,THANE,THANE,147000000.0,False,False,False,False,False,False
309,Haryana,NAVEEN JINDAL,KURUKSHETRA,KURUKSHETRA,147000000.0,False,False,False,False,False,False
310,Uttar Pradesh,NEERAJ MAURYA,AONLA,AONLA,147000000.0,False,False,False,False,False,False
311,Maharashtra,NILESH DNYANDEV LANKE,AHMEDNAGAR,AHMEDNAGAR,147000000.0,False,False,False,False,False,False
312,Gujarat,NIMUBEN JAYANTIBHAI BAMBHANIYA,BHAVNAGAR,BHAVNAGAR,147000000.0,False,False,False,False,False,False
313,Jharkhand,Nishikant Dubey,GODDA,GODDA,147000000.0,False,False,False,False,False,False
314,Maharashtra,Nitin Jairam Gadkari,NAGPUR,NAGPUR,168195086.11,False,False,False,False,False,False
315,Bihar,Nityanand Rai,UJJARPUR,UJJARPUR,147000000.0,False,False,False,False,False,False
316,Rajasthan,Om Birla,KOTA,KOTA,163906956.6,False,False,False,False,False,False
317,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OSMANABAD,OSMANABAD,184758519.11,False,False,False,False,False,False
318,Karnataka,P C Mohan,BANGALORE CENTRAL,BANGALORE CENTRAL,159995711.11,False,False,False,False,False,False
319,Uttar Pradesh,Pankaj Chowdhary,MAHARAJGANJ_UP,MAHARAJGANJ,147000000.0,False,False,False,False,False,False
320,Assam,PARIMAL SUKLABAIDYA,SILCHAR,SILCHAR,148300157.11,False,False,False,False,False,False
321,Gujarat,PARSHOTTAMBHAI RUPALA,RAJKOT,RAJKOT,147000000.0,False,False,False,False,False,False
322,West Bengal,PARTHA BHOWMICK,BARRACKPUR,BARRACKPUR,147000000.0,False,False,False,False,False,False
323,Karnataka,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,BAGALKOT,167541747.11,False,False,False,False,False,False
324,The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,DAMAN and DIU,245063957.0,False,False,False,False,False,False
